area,bedrooms,bathrooms,stories,parking,age,city_tier,country,city,location,mainroad,furnishingstatus,price
1385,1,1,1,0,34,1,South Africa,Cape Town,urban,yes,semi-furnished,263800
1621,5,4,3,0,54,4,Morocco,Fes,suburban,yes,unfurnished,103100
2772,4,4,4,0,28,2,Japan,Osaka,suburban,no,unfurnished,902400
1237,5,4,2,2,58,3,Poland,Gdansk,suburban,no,unfurnished,132300
2429,4,3,3,3,23,4,Brazil,Fortaleza,urban,no,unfurnished,227100
706,2,2,2,1,44,4,Greece,Heraklion,urban,yes,unfurnished,88800
1582,2,1,1,0,15,3,Brazil,Curitiba,suburban,no,semi-furnished,159600
1906,2,1,2,3,22,2,Japan,Yokohama,urban,yes,unfurnished,737400
2181,3,2,2,2,35,4,Spain,Zaragoza,urban,yes,furnished,349500
2262,1,1,1,1,22,4,Bangladesh,Barisal,urban,no,unfurnished,83400
2316,4,4,2,3,5,3,UK,Cardiff,suburban,yes,semi-furnished,718400
1573,4,4,4,2,21,4,Pakistan,Multan,suburban,no,unfurnished,73900
1499,5,4,1,2,41,4,Turkey,Bursa,prime,no,semi-furnished,181400
2358,3,2,1,0,27,4,Russia,Yekaterinburg,rural,yes,furnished,151200
1676,5,4,2,1,29,4,Nigeria,Kano,suburban,no,unfurnished,109900
971,2,1,4,2,10,2,Japan,Yokohama,urban,no,semi-furnished,612600
1063,3,3,3,2,37,3,Morocco,Tangier,suburban,yes,semi-furnished,118900
1202,4,4,3,2,28,2,Pakistan,Lahore,suburban,yes,unfurnished,102300
2123,4,4,3,1,1,1,USA,Seattle,rural,no,semi-furnished,1283400
1893,4,4,1,1,39,4,Nigeria,Ibadan,suburban,yes,unfurnished,108700
2249,3,2,1,1,22,3,Colombia,Cartagena,urban,no,semi-furnished,164800
1522,1,1,4,0,5,4,Qatar,Al Wakrah,urban,no,semi-furnished,280200
1903,5,4,3,3,23,4,Canada,Halifax,suburban,no,furnished,371200
2207,2,2,2,2,30,1,Russia,Moscow,rural,no,semi-furnished,300400
1599,4,3,2,2,34,2,USA,Chicago,suburban,yes,semi-furnished,654000
2097,1,1,1,3,33,1,Canada,Vancouver,suburban,yes,semi-furnished,582100
1370,5,4,1,1,54,2,Malaysia,Penang,rural,no,unfurnished,137800
1564,2,2,4,2,29,3,Israel,Haifa,suburban,no,semi-furnished,441600
1552,5,4,1,2,43,2,UK,Birmingham,rural,yes,furnished,586300
1023,4,4,4,2,41,1,Norway,Oslo,urban,yes,furnished,857200
2117,2,1,2,2,48,4,Malaysia,Ipoh,suburban,yes,furnished,129300
1495,2,1,4,0,53,3,Sri Lanka,Negombo,suburban,yes,semi-furnished,55200
1808,5,4,1,3,45,4,USA,Memphis,prime,yes,semi-furnished,495200
2112,3,3,3,2,59,3,Qatar,Al Rayyan,urban,no,semi-furnished,255500
2090,4,4,1,3,11,2,Vietnam,Hanoi,urban,yes,semi-furnished,280600
2233,4,3,1,0,44,2,New Zealand,Queenstown,urban,no,semi-furnished,543300
1736,2,1,2,1,30,1,USA,Boston,prime,no,unfurnished,1083900
1525,1,1,3,1,18,1,USA,Boston,prime,no,semi-furnished,1147900
1748,1,1,4,0,44,1,UAE,Abu Dhabi,urban,no,furnished,436100
703,3,3,1,3,58,4,Sri Lanka,Jaffna,urban,yes,semi-furnished,45100
859,4,4,3,1,32,1,India,Gurgaon,rural,yes,semi-furnished,137800
940,2,1,4,3,46,3,Canada,Edmonton,urban,yes,furnished,304500
1152,2,1,4,1,56,3,Egypt,Sharm El Sheikh,suburban,no,semi-furnished,66800
2060,2,1,2,2,1,1,Chile,Santiago,urban,yes,semi-furnished,530500
1211,2,1,1,2,31,2,UK,Birmingham,urban,no,semi-furnished,460200
1554,3,3,4,2,59,3,Israel,Haifa,suburban,yes,unfurnished,270100
2644,3,3,4,2,32,4,South Korea,Gwangju,rural,no,unfurnished,331600
1568,2,1,2,3,9,3,Peru,Arequipa,urban,no,semi-furnished,176900
2279,1,1,1,0,7,3,Italy,Bologna,urban,yes,semi-furnished,532300
1193,1,1,3,2,18,4,Pakistan,Quetta,suburban,yes,semi-furnished,44100
1666,3,2,1,3,4,3,Sri Lanka,Negombo,urban,yes,semi-furnished,149500
1182,1,1,3,3,9,2,India,Kolkata,rural,no,unfurnished,82600
1580,4,4,1,1,3,3,Bangladesh,Khulna,suburban,no,semi-furnished,96200
2346,1,1,4,1,23,1,USA,Washington DC,urban,yes,semi-furnished,1383900
677,1,1,2,3,8,4,Bangladesh,Mymensingh,prime,no,furnished,64900
2082,4,3,1,2,9,3,USA,Atlanta,suburban,no,furnished,792300
1955,4,3,1,0,40,2,New Zealand,Wellington,urban,yes,unfurnished,587700
1414,4,3,3,3,6,1,Argentina,Buenos Aires,suburban,no,semi-furnished,322800
860,1,1,3,3,10,3,Mexico,Cancun,prime,yes,semi-furnished,198000
1847,4,3,1,2,28,4,Canada,Halifax,prime,yes,semi-furnished,575300
1456,5,4,4,2,6,1,Chile,Santiago,urban,yes,semi-furnished,592500
1951,4,4,4,2,0,3,India,Jaipur,urban,yes,unfurnished,184800
1814,2,1,2,1,36,1,Germany,Frankfurt,urban,yes,unfurnished,670900
2841,3,3,3,2,46,1,UAE,Dubai,urban,yes,semi-furnished,645100
1644,5,4,4,0,51,3,Italy,Naples,suburban,yes,unfurnished,359400
1135,1,1,4,1,0,3,Israel,Haifa,prime,yes,furnished,622300
1917,4,4,1,3,1,2,China,Suzhou,urban,yes,semi-furnished,754800
1943,2,1,4,3,4,2,Switzerland,Bern,urban,yes,semi-furnished,1094700
2683,5,4,1,0,30,2,Germany,Hamburg,urban,yes,semi-furnished,865400
2343,1,1,3,0,46,4,Japan,Sendai,urban,yes,semi-furnished,393200
2032,3,2,1,0,11,1,Netherlands,Amsterdam,rural,yes,unfurnished,632300
2751,3,2,1,3,52,1,China,Shanghai,suburban,yes,unfurnished,543000
1027,3,2,1,3,54,3,Brazil,Porto Alegre,suburban,yes,semi-furnished,123700
1384,2,2,1,2,50,2,Switzerland,Basel,rural,no,furnished,473900
1198,1,1,1,2,25,1,Colombia,Bogota,urban,no,semi-furnished,202000
1547,5,4,2,2,18,3,France,Bordeaux,suburban,yes,unfurnished,531500
905,3,3,1,3,38,3,Brazil,Belo Horizonte,urban,yes,unfurnished,134600
2213,4,3,2,3,55,2,Malaysia,Penang,prime,yes,unfurnished,297500
1656,3,3,2,3,26,3,Morocco,Tangier,urban,yes,furnished,192800
844,3,3,3,1,29,4,Australia,Hobart,suburban,no,unfurnished,266900
1140,4,3,4,1,49,3,Nigeria,Port Harcourt,suburban,no,semi-furnished,88200
2004,3,3,1,0,53,4,USA,Detroit,urban,no,semi-furnished,384500
2345,1,1,4,3,29,3,Indonesia,Surabaya,rural,yes,unfurnished,142900
3098,1,1,3,1,58,3,Sweden,Uppsala,urban,yes,furnished,386400
3694,3,2,4,0,56,3,Japan,Nagoya,urban,yes,semi-furnished,661000
2069,1,1,2,3,37,4,Qatar,Al Wakrah,prime,yes,furnished,336700
1157,3,3,1,3,21,2,Israel,Jerusalem,rural,yes,unfurnished,429700
414,4,4,1,3,53,4,Nepal,Biratnagar,prime,no,semi-furnished,37900
1974,3,2,1,2,43,4,India,Nagpur,suburban,yes,unfurnished,65100
1272,1,1,4,3,21,3,South Korea,Incheon,urban,yes,semi-furnished,352500
1530,4,3,3,3,5,4,Brazil,Fortaleza,urban,no,furnished,196800
1402,5,4,4,2,36,3,Spain,Valencia,urban,no,furnished,383700
1708,2,1,3,2,9,2,France,Lyon,urban,yes,semi-furnished,629700
2493,1,1,4,1,19,4,Kenya,Kisumu,urban,yes,semi-furnished,156000
1902,3,3,1,2,31,1,Sri Lanka,Colombo,suburban,yes,furnished,182800
1697,4,3,2,3,50,2,Nepal,Lalitpur,rural,yes,furnished,74600
1127,2,1,4,3,15,4,Ireland,Limerick,prime,yes,semi-furnished,437900
711,3,2,4,3,48,1,USA,San Francisco,urban,yes,semi-furnished,610300
1484,4,4,4,1,3,3,Spain,Seville,suburban,yes,unfurnished,419200
1765,3,2,4,3,40,3,Colombia,Cartagena,suburban,no,furnished,152500
2949,4,4,2,1,14,3,Saudi Arabia,Khobar,suburban,no,semi-furnished,375200
1885,1,1,3,0,38,1,USA,San Francisco,urban,yes,semi-furnished,893100
2439,2,1,4,3,16,1,Philippines,Makati,urban,no,unfurnished,356100
1475,3,3,2,1,27,1,Thailand,Bangkok,rural,yes,furnished,274900
1030,2,1,1,3,37,4,UK,Sheffield,urban,yes,unfurnished,273900
1173,5,4,3,2,4,2,Netherlands,Rotterdam,urban,yes,semi-furnished,911500
1329,4,3,2,2,9,4,Malaysia,Kuching,urban,no,furnished,203600
3184,3,3,3,2,52,1,Australia,Sydney,suburban,yes,semi-furnished,823900
1266,4,4,1,1,55,2,Israel,Jerusalem,suburban,yes,semi-furnished,356800
2345,5,4,2,3,31,2,Germany,Berlin,suburban,no,unfurnished,692300
1213,1,1,3,0,17,1,USA,Washington DC,suburban,yes,semi-furnished,708700
2406,3,3,3,0,16,1,Philippines,Makati,suburban,yes,unfurnished,357100
2050,3,3,1,2,57,2,Nigeria,Abuja,rural,yes,semi-furnished,102700
1698,4,4,1,3,45,1,Canada,Toronto,urban,yes,semi-furnished,749300
1774,2,1,3,3,25,2,India,Pune,urban,yes,furnished,164600
1374,2,1,2,2,27,3,Turkey,Antalya,urban,yes,unfurnished,183100
2090,4,4,1,0,43,2,Australia,Canberra,urban,yes,semi-furnished,694900
1504,5,4,4,0,26,1,Canada,Vancouver,rural,yes,unfurnished,661800
1003,1,1,2,1,40,3,UK,Glasgow,urban,yes,semi-furnished,276900
969,4,4,3,2,46,1,Australia,Sydney,suburban,yes,furnished,662900
1912,4,3,3,0,16,1,Chile,Santiago,rural,no,semi-furnished,365200
2826,1,1,3,1,45,4,Germany,Leipzig,urban,no,furnished,391700
1904,4,4,2,1,26,1,Greece,Athens,prime,yes,semi-furnished,737400
1723,5,4,1,0,58,2,USA,Miami,suburban,yes,unfurnished,526100
1986,5,4,3,2,13,3,Brazil,Porto Alegre,suburban,yes,unfurnished,255900
2649,1,1,1,0,23,2,China,Hangzhou,suburban,no,semi-furnished,418200
1943,5,4,4,0,53,1,China,Shenzhen,urban,yes,furnished,508400
1533,2,1,4,1,33,1,Israel,Tel Aviv,prime,yes,furnished,910200
2519,3,2,4,1,53,3,Sri Lanka,Kandy,suburban,no,semi-furnished,90600
2079,2,2,4,0,6,4,Japan,Sendai,rural,yes,unfurnished,374000
2798,4,3,4,0,21,2,India,Hyderabad,rural,yes,unfurnished,166800
1919,1,1,4,0,55,1,Kenya,Nairobi,suburban,yes,semi-furnished,131900
1004,4,4,1,3,24,2,South Korea,Busan,urban,yes,unfurnished,583900
911,1,1,3,3,18,3,Thailand,Chiang Mai,urban,no,unfurnished,130800
2873,5,4,2,2,18,2,Poland,Krakow,urban,yes,furnished,499600
2920,2,2,1,1,54,4,UAE,Al Ain,suburban,yes,semi-furnished,194800
1683,3,3,4,2,17,3,Germany,Cologne,suburban,yes,unfurnished,399300
1551,2,1,1,3,7,4,Bangladesh,Rajshahi,urban,yes,semi-furnished,86100
2750,1,1,4,3,5,4,Greece,Patras,urban,no,semi-furnished,369300
1080,1,1,3,2,58,1,Morocco,Casablanca,suburban,yes,furnished,126800
1218,5,4,1,0,38,3,Australia,Adelaide,urban,yes,semi-furnished,440700
2218,1,1,1,1,57,1,South Africa,Johannesburg,rural,yes,semi-furnished,166800
1544,1,1,4,3,46,2,China,Hangzhou,urban,yes,unfurnished,325100
1797,3,3,4,3,28,1,Singapore,Singapore,rural,yes,semi-furnished,1006000
1694,5,4,2,0,20,3,South Korea,Daegu,prime,yes,unfurnished,684600
2019,1,1,4,3,13,4,Mexico,Puebla,suburban,no,semi-furnished,150400
2715,2,1,4,1,30,4,South Korea,Daejeon,rural,yes,furnished,296000
1859,3,2,3,0,3,1,USA,Washington DC,prime,yes,unfurnished,1825300
2219,3,3,3,0,1,2,USA,Portland,suburban,yes,semi-furnished,1062300
467,1,1,1,1,50,1,Morocco,Casablanca,prime,yes,semi-furnished,110500
1768,5,4,2,3,37,3,Bangladesh,Narayanganj,urban,yes,furnished,104700
1252,2,1,2,2,43,3,Sri Lanka,Kandy,prime,yes,furnished,95500
1008,4,4,1,1,19,4,UAE,Ajman,urban,yes,unfurnished,217600
1229,3,3,3,2,34,3,USA,Atlanta,urban,yes,furnished,529700
1583,3,2,1,1,8,3,Spain,Valencia,rural,yes,semi-furnished,332600
2395,5,4,2,0,30,4,Philippines,Davao,rural,yes,unfurnished,114800
938,2,2,3,1,0,4,Bangladesh,Rajshahi,urban,no,unfurnished,63700
1820,5,4,3,0,32,4,Bangladesh,Rangpur,suburban,yes,semi-furnished,71900
1485,2,2,3,3,25,1,Kenya,Nairobi,suburban,no,furnished,220500
1587,2,1,4,1,22,4,New Zealand,Hamilton,urban,yes,furnished,361800
2452,1,1,2,0,40,1,Australia,Melbourne,urban,yes,furnished,857400
2150,2,2,3,1,36,3,USA,Phoenix,suburban,no,semi-furnished,494300
2669,3,3,3,1,14,3,Brazil,Porto Alegre,urban,yes,furnished,344400
1700,4,3,1,2,0,3,Germany,Dusseldorf,prime,yes,furnished,786000
1348,3,3,3,0,10,3,France,Bordeaux,urban,no,unfurnished,544600
1654,2,1,3,3,52,2,Australia,Brisbane,suburban,yes,unfurnished,358100
1958,2,2,1,0,36,2,Netherlands,The Hague,urban,yes,furnished,660600
1915,5,4,1,2,40,2,Canada,Ottawa,urban,yes,semi-furnished,627800
1095,2,2,2,3,35,4,Bangladesh,Comilla,urban,yes,unfurnished,59800
1859,2,1,2,0,49,2,Japan,Kyoto,urban,yes,furnished,488500
1948,5,4,2,1,18,4,Mexico,Merida,suburban,yes,semi-furnished,181700
3436,4,3,1,2,26,4,Ireland,Limerick,suburban,no,semi-furnished,516500
3020,5,4,2,0,51,4,Bangladesh,Rajshahi,rural,yes,furnished,68700
1245,2,1,2,2,7,1,Sweden,Stockholm,urban,no,semi-furnished,781300
1613,3,3,4,3,35,1,Norway,Oslo,urban,yes,furnished,979000
849,4,4,3,0,49,2,Indonesia,Bali,urban,yes,unfurnished,164900
1416,5,4,4,3,48,4,India,Patna,urban,yes,semi-furnished,84600
2005,4,3,3,1,21,2,UK,Manchester,rural,yes,furnished,672000
2584,3,3,3,3,55,2,Mexico,Guadalajara,prime,yes,unfurnished,329000
1326,3,2,2,1,15,3,Bangladesh,Sylhet,suburban,no,unfurnished,81900
1375,2,2,2,0,40,3,Italy,Naples,urban,no,unfurnished,235000
404,3,3,1,2,12,3,Spain,Bilbao,rural,yes,unfurnished,234900
1694,2,2,4,1,17,2,China,Guangzhou,prime,yes,semi-furnished,611900
1109,1,1,2,2,31,4,Ireland,Limerick,suburban,yes,unfurnished,231300
1456,5,4,1,3,40,2,India,Noida,urban,yes,furnished,143800
1230,1,1,2,3,16,3,Saudi Arabia,Medina,prime,yes,furnished,267800
1739,2,1,2,0,25,3,Malaysia,Johor Bahru,urban,yes,semi-furnished,153100
657,2,2,3,0,22,2,Germany,Stuttgart,urban,no,furnished,390400
846,2,1,4,1,10,2,Australia,Perth,suburban,no,unfurnished,430800
3184,3,3,4,0,34,3,South Korea,Incheon,suburban,no,unfurnished,482900
963,5,4,4,3,10,1,Sri Lanka,Colombo,suburban,yes,furnished,231700
1087,2,2,4,2,30,3,Spain,Bilbao,suburban,yes,furnished,279900
2994,4,3,4,0,9,4,Ireland,Limerick,suburban,yes,semi-furnished,508200
3688,4,4,3,2,33,3,Bangladesh,Gazipur,suburban,yes,unfurnished,112000
1038,4,3,1,2,27,4,Thailand,Krabi,urban,yes,semi-furnished,121700
1561,4,3,1,3,58,3,Norway,Stavanger,urban,yes,semi-furnished,445300
2022,4,3,2,3,35,3,Greece,Thessaloniki,rural,yes,furnished,219100
2924,4,4,4,2,37,3,Brazil,Belo Horizonte,prime,yes,unfurnished,377600
1159,4,3,4,2,58,2,Canada,Ottawa,rural,yes,semi-furnished,315000
1641,3,2,4,0,17,1,Turkey,Istanbul,rural,yes,semi-furnished,335900
2305,1,1,1,3,40,4,Kenya,Kisumu,suburban,yes,unfurnished,102500
2083,3,2,3,3,16,2,UK,Manchester,suburban,no,semi-furnished,770400
1555,4,4,4,3,13,2,France,Lyon,prime,yes,semi-furnished,1069800
1713,2,1,2,3,2,2,Nepal,Lalitpur,suburban,no,unfurnished,127700
906,2,2,2,3,50,2,France,Nice,urban,yes,unfurnished,325700
1645,3,2,3,1,30,4,Kenya,Nakuru,suburban,yes,semi-furnished,96900
1627,1,1,4,2,59,3,Indonesia,Surabaya,urban,yes,unfurnished,105900
1951,4,4,2,3,4,2,New Zealand,Wellington,suburban,no,furnished,691900
1439,5,4,2,0,24,4,USA,Detroit,urban,no,unfurnished,513000
2107,3,2,1,0,59,1,South Korea,Seoul,prime,yes,furnished,743600
2458,1,1,2,1,52,3,New Zealand,Christchurch,suburban,yes,furnished,266600
1901,2,2,1,2,46,3,Argentina,Cordoba,urban,yes,furnished,152400
2029,1,1,4,3,44,3,Saudi Arabia,Medina,suburban,yes,semi-furnished,171800
1835,3,2,4,1,11,2,Egypt,Giza,suburban,no,unfurnished,144500
1800,2,2,3,0,18,1,USA,Boston,rural,yes,furnished,854700
1331,4,3,1,0,41,4,Bangladesh,Rajshahi,suburban,no,semi-furnished,47500
2006,5,4,2,1,0,3,Canada,Calgary,urban,no,unfurnished,791600
1737,3,3,1,0,57,4,Peru,Trujillo,urban,no,unfurnished,91800
3161,5,4,4,2,41,2,Brazil,Brasilia,rural,yes,unfurnished,269300
2823,3,3,1,3,52,1,France,Paris,urban,yes,furnished,976000
2051,1,1,3,1,57,2,Switzerland,Basel,suburban,no,semi-furnished,511700
1304,5,4,2,1,38,4,USA,Kansas City,suburban,yes,unfurnished,400400
1077,2,2,3,3,8,4,Turkey,Adana,prime,yes,semi-furnished,219600
2574,5,4,1,0,8,2,Turkey,Izmir,urban,yes,semi-furnished,474700
1971,4,3,2,3,54,3,Netherlands,Eindhoven,suburban,yes,semi-furnished,351100
2112,5,4,4,0,27,4,Bangladesh,Barisal,urban,yes,unfurnished,92400
666,4,4,4,0,12,1,Pakistan,Islamabad,prime,no,semi-furnished,141000
2403,3,2,2,2,8,3,Colombia,Cali,suburban,yes,unfurnished,199200
2095,2,2,3,0,32,2,Australia,Canberra,prime,yes,furnished,900000
1078,2,2,4,1,34,1,Ireland,Dublin,suburban,yes,unfurnished,533300
1494,2,2,3,3,33,1,China,Shenzhen,urban,yes,semi-furnished,534900
1971,2,1,2,2,23,1,Sri Lanka,Colombo,urban,yes,semi-furnished,195000
1834,3,3,4,0,13,2,South Korea,Busan,suburban,no,unfurnished,612300
1610,5,4,4,2,7,1,Turkey,Istanbul,urban,no,semi-furnished,532600
1733,1,1,2,0,1,1,Switzerland,Zurich,urban,yes,semi-furnished,1623700
1636,4,3,1,0,11,2,Indonesia,Bali,suburban,yes,unfurnished,229300
1899,4,3,4,1,10,4,Italy,Palermo,suburban,no,semi-furnished,422500
2756,3,3,1,1,9,4,Russia,Kazan,suburban,yes,furnished,260600
350,2,1,4,1,23,2,India,Noida,urban,no,semi-furnished,86900
1646,3,3,4,2,31,4,Spain,Zaragoza,urban,no,semi-furnished,315400
1915,5,4,1,2,11,4,Spain,Zaragoza,suburban,no,semi-furnished,351100
1992,5,4,3,0,33,2,USA,Austin,urban,no,semi-furnished,832300
1558,4,3,3,1,40,4,Greece,Patras,rural,yes,furnished,154200
658,3,2,1,1,24,2,Australia,Perth,urban,yes,furnished,531500
2013,4,3,4,2,29,3,France,Lille,urban,yes,unfurnished,530700
2923,4,3,1,1,35,1,Malaysia,Kuala Lumpur,rural,yes,semi-furnished,316900
803,4,4,3,2,21,4,Portugal,Coimbra,rural,no,semi-furnished,214200
2361,1,1,1,2,20,3,China,Tianjin,urban,yes,unfurnished,384400
1586,1,1,1,0,13,4,Pakistan,Quetta,suburban,yes,semi-furnished,54500
1760,2,1,3,2,38,4,Greece,Patras,prime,yes,furnished,261200
1116,2,1,1,1,39,4,Egypt,Aswan,rural,yes,semi-furnished,57600
1583,4,3,4,1,33,1,Portugal,Lisbon,rural,yes,unfurnished,463300
2645,3,3,1,0,53,2,New Zealand,Queenstown,urban,yes,semi-furnished,555600
2179,5,4,3,1,12,3,Spain,Malaga,prime,yes,furnished,727400
2926,4,3,2,3,39,3,Switzerland,Lugano,urban,no,furnished,878700
2565,1,1,3,0,15,2,Norway,Bergen,rural,yes,furnished,662200
2085,5,4,3,0,24,3,Spain,Valencia,suburban,yes,semi-furnished,378900
2934,4,3,3,0,16,3,Thailand,Pattaya,urban,yes,semi-furnished,273500
2085,2,2,3,3,1,1,USA,Seattle,suburban,yes,unfurnished,1354800
2338,1,1,4,0,30,4,Italy,Genoa,urban,yes,unfurnished,349900
1607,4,3,3,3,47,2,Egypt,Giza,suburban,yes,semi-furnished,150500
1843,1,1,4,0,58,2,Nepal,Lalitpur,suburban,no,unfurnished,56600
1347,2,1,2,2,31,2,China,Suzhou,urban,yes,furnished,323800
2443,3,2,3,1,43,3,Norway,Trondheim,urban,no,semi-furnished,591700
1034,1,1,3,3,3,2,Germany,Hamburg,urban,yes,semi-furnished,614400
2309,2,2,2,1,1,4,Turkey,Bursa,suburban,yes,semi-furnished,225200
1676,2,2,4,1,43,4,Turkey,Adana,urban,yes,semi-furnished,145100
2561,1,1,2,1,29,4,Poland,Lodz,urban,yes,semi-furnished,202100
2288,5,4,4,1,13,2,China,Hangzhou,rural,yes,semi-furnished,630200
2983,2,1,1,0,28,4,France,Nantes,suburban,yes,semi-furnished,401100
2275,3,2,3,0,17,2,UK,Manchester,rural,yes,unfurnished,611300
778,5,4,4,2,14,4,Spain,Zaragoza,prime,yes,furnished,338600
1756,3,3,2,2,39,4,Peru,Trujillo,urban,yes,semi-furnished,114700
1038,2,1,2,0,39,1,India,Delhi,suburban,yes,unfurnished,110100
1463,4,3,4,1,11,4,Pakistan,Peshawar,suburban,no,furnished,76800
2782,4,4,3,2,53,3,France,Lille,urban,yes,semi-furnished,524700
2214,1,1,4,3,19,3,China,Tianjin,urban,no,semi-furnished,387300
1346,5,4,4,0,37,3,Spain,Malaga,suburban,yes,semi-furnished,354600
1141,1,1,4,3,41,1,Poland,Warsaw,suburban,yes,semi-furnished,215200
1821,4,4,4,1,30,3,Australia,Adelaide,suburban,no,semi-furnished,476700
1009,1,1,3,2,18,1,South Korea,Seoul,urban,yes,unfurnished,519000
1364,1,1,4,0,55,3,China,Xi'an,urban,yes,semi-furnished,172200
2003,1,1,2,1,5,3,China,Chongqing,suburban,no,semi-furnished,359300
2551,4,3,3,1,21,4,USA,Detroit,suburban,no,semi-furnished,597000
2196,3,3,2,0,6,3,South Africa,Pretoria,prime,yes,semi-furnished,428500
350,4,3,2,3,35,1,Philippines,Manila,suburban,yes,semi-furnished,167600
1998,2,2,2,0,32,3,UK,Cardiff,prime,no,unfurnished,704800
1847,1,1,4,0,27,1,New Zealand,Auckland,urban,yes,furnished,662200
2069,4,4,2,0,59,1,South Korea,Seoul,urban,no,unfurnished,554100
2851,5,4,1,3,46,2,India,Chennai,prime,yes,unfurnished,245800
459,5,4,2,2,31,3,Germany,Dusseldorf,urban,no,unfurnished,338400
1416,1,1,2,1,46,4,Spain,Zaragoza,suburban,yes,semi-furnished,182000
